"","id","name","term_start","term_end","n_speech"
"1",2,"Curtin, John",1941-10-07,1945-07-05,4
"2",1,"Chifley, Ben",1945-06-13,1949-12-19,11
"3",12,"Menzies, Robert",1949-12-19,1966-01-26,1207
"4",7,"Holt, Harold",1966-01-26,1967-12-19,507
"5",10,"McEwen, John",1967-12-19,1968-01-10,16
"6",5,"Gorton, John",1968-01-10,1971-03-10,625
"7",11,"McMahon, William",1971-03-10,1972-12-05,349
"8",14,"Whitlam, Gough",1972-12-05,1975-11-11,1239
"9",3,"Fraser, Malcolm",1975-11-11,1983-03-11,2081
"10",6,"Hawke, Robert",1983-03-11,1991-12-20,2321
"11",9,"Keating, Paul",1991-12-20,1996-03-11,1582
"12",8,"Howard, John",1996-03-11,2007-12-03,5868
"13",13,"Rudd, Kevin",2007-12-03,2010-06-24,1735
"14",4,"Gillard, Julia",2010-06-24,2013-06-27,2072
"15",13,"Rudd, Kevin",2013-06-27,2013-10-18,1735
"16",422,"Abbott, Tony",2013-10-18,2015-10-15,1372
"17",427,"Turnbull, Malcolm",2015-10-15,2018-09-24,1752
"18",500,"Morrison, Scott",2018-09-24,NA,1051
